Stkcd,F090101B,F090101C,F090501C,F091101A,F091801B,F091801C,F092101C,F090602C,F091002A,F081002B,F081202B,F081602C,jlr,yylr,yysr,rate1,rate2,rate03,factor_ma,F010101A,F011801A,F011901A,rate,PD,BZC,aa,y
600166,-0.478820857,-0.596883271,0.144253728,-0.195855825,-0.241879204,-0.121184458,0.089163813,0.155564157,-0.07089272,-0.222622,0.347238,0.009089,0.153709268,-0.038605752,-0.057535477,3.410742496,2.728278041,0.319115324,-0.09762901,-0.532387006,-0.382604455,-0.214117246,-1.254480287,-0.513505926,0.037923069,47,1
002642,-0.512232935,-0.210597254,-0.399153119,-0.443073972,-0.673048254,-0.255187478,-0.045057127,-0.390733057,0.167660234,0.181434,0.155926,0.032357,0.040879159,0.103933012,-0.054763479,-0.557782,,0.079461047,0.009424701,0.518627923,0.579716021,-0.656275938,-1.248402216,-0.118381806,0.057150595,48,1
300085,-0.499243432,-0.579422305,-0.636741616,-0.513554386,-0.283410222,-0.317173465,0.225699813,-0.62958528,-0.706913863,1.773519,2.172795,2.225331,0.345878001,-0.087022618,-0.051074208,-0.367978533,-0.392307692,-0.172093023,-0.23389313,0.247085812,0.611594014,-0.983853211,-1.219670876,-0.104847789,0.06744902,49,1
300003,-0.20550429,-0.014796994,-0.512609694,-0.459236071,-0.161191711,-0.154268974,-0.137045072,-0.504793104,-0.356995995,0.317875,0.323433,0.659269,0.021797582,-0.00564298,-0.055655438,-0.682901554,-0.104823748,0.213212435,0.028903226,-0.05057992,0.171111124,-0.648821469,-1.204774536,-0.100495722,0.042930571,50,1
300133,-0.294618239,0.00048378,-0.452139547,-0.397398324,-0.490055904,-0.290729986,-0.109377375,-0.444001318,-0.09667542,0.229095,0.126478,0.386849,0.055990044,-0.018533233,-0.050615187,0.471299094,0.584424303,-0.330647868,-0.039812646,0.600183366,0.356621582,-0.686960098,-1.181184669,-0.076998111,0.047197799,51,1
002408,-0.317326318,-0.117221481,0.075481579,-0.181667445,0.058329769,-0.153957676,-0.165604729,0.086426211,0.243806034,-0.396638,-0.424775,-0.177287,0.02693615,-0.026561535,-0.055820036,2.065364388,1.915101427,-2.302176314,-0.187619655,-0.39124254,0.192563811,-0.818861707,-1.176079734,-0.338929637,0.046841165,52,1
000961,0.173309129,-0.287875254,0.843970793,2.57523711,0.566614566,0.041819103,-0.381982967,0.859002998,1.46731788,-0.528506,-0.61043,-0.061602,0.028103142,0.00550987,-0.052493846,-0.005787781,0.80465718,0.289840937,-0.087252475,-0.263948717,-0.619958716,2.360814041,-1.167315175,-0.328219607,0.046275338,53,1
600703,-0.228918935,0.081695953,-0.550633616,-0.364130135,0.031371941,-0.082215788,-0.074716212,-0.543019274,-0.242274238,0.156934,0.129365,0.060832,0.026452936,0.002189847,-0.053783148,-0.037272006,-0.608828742,0.4655073,-0.025682183,1.222711472,0.589194716,-0.189734347,-1.144578313,-0.101796111,0.041082318,54,1
600176,-0.137640069,0.111787867,-0.031445672,0.242825816,0.140646938,0.645966608,0.495407202,-0.021069783,-0.227817969,1.084005,0.928603,0.125497,0.025915877,0.003171982,-0.056065036,-0.771743408,-0.58677686,-0.020464384,-0.032826261,-0.399968166,-0.419214737,0.956537811,-1.143641354,-0.110661391,0.047332179,55,1
002085,0.098580857,0.883221812,0.571603444,-0.196364537,0.277315848,0.623684576,0.242263394,0.585186935,0.180017973,0.722944,0.861682,0.532232,0.025093852,0.004427394,-0.051986818,-0.050177096,-0.05842138,-0.046397862,-0.221331998,-0.153020463,-0.246198315,0.311480732,-1.115027829,-0.044229872,0.048950847,56,1
601933,-0.260998902,-0.551261485,0.202918199,-0.435048563,0.171037469,-0.163898103,-0.048409003,0.214540662,-0.756163375,-0.296261,-0.279491,0.147522,0.021740746,-0.003590288,-0.056388955,0.042311662,,0.158678438,-0.064781022,-0.225354367,-0.096643791,-0.981475065,-1.099137931,-0.128662665,0.040318786,57,1
300267,-0.352835484,-0.319620595,-0.594902264,-0.529645396,-0.152625301,-0.223218566,-0.075221354,-0.455601696,-0.544791604,1.084068,0.955746,0.281416,0.023454995,-0.001060247,-0.055531769,0.142080218,-0.081845238,-0.283623396,0.002258065,1.807594272,2.304658043,-0.957588762,-1.086021505,-0.068768102,0.044914085,58,1
002450,0.035839708,0.577585781,-0.210301014,-0.187882951,-0.038704146,-0.112394381,0.323175346,-0.200088972,-0.119642392,0.404621,0.39277,0.432267,0.025539854,0.004921588,-0.053630661,-0.560367454,,-0.102099738,0.008031016,-0.040444695,-0.296596448,-0.10175396,-1.076794658,-0.194670274,0.038999686,59,1
600704,-0.164534785,-0.190056824,2.612777901,0.616686968,-1.22679335,-1.463964226,-1.2603484,2.616879867,0.452344924,3.022793,2.845176,3.808222,0.04439995,-0.00686191,-0.045251833,-0.162547529,-0.162945368,,-0.119630485,-0.38807149,-0.51507268,-0.341924691,-1.053892216,-0.006217312,0.056572913,60,1
000090,0.325167996,-0.195780401,-0.064005851,0.126659794,-2.484837657,-1.54506808,-1.759743367,-0.053803149,0.37623879,-0.069085,-0.103496,0.192321,0.032632994,0.016266978,-0.053340956,-0.098994177,0.512888889,0.161416149,-0.085873984,-0.205300444,-0.452334273,0.109238955,-1.042283298,-0.082965974,0.046746323,61,1
002340,-0.42838714,-0.384800126,-0.341983994,-0.181267866,-0.54577549,-0.373526027,-1.13897835,-0.33325985,-0.190331479,-0.155425,-0.09589,0.309121,0.024043939,-0.014389323,-0.052765267,-0.116447368,0.007894737,-0.159210526,0.010238908,-0.332484694,-0.398025696,0.666834315,-1.030065359,-0.204355564,0.041707574,62,1
603899,-0.104339157,,,-0.415603002,0.185561904,,,,-0.328041648,0.235773,0.263566,0.231931,0.02133102,-0.007598719,-0.05768619,0.093035343,,-0.280624501,0.01705543,0.453207992,0.591173021,-0.955674106,-1.02746114,2.04754838,0.056164542,63,1
600884,0.99523533,1.102832793,0.07938497,0.263616862,-0.178914104,-0.686180645,0.360992058,0.090350364,1.523045229,1.062095,1.12158,0.175816,0.044046698,0.042994864,-0.056347478,0.137721079,-0.79204893,1.147660401,0.157573704,-0.212590716,-0.299121887,0.672898313,-1.026699029,-0.196557098,0.043239144,64,1
002568,-0.379814988,-0.311664263,-0.635923332,-0.459004448,-0.074824277,-0.171956182,0.287565449,-0.628762644,-0.455589092,7.774688,8.737554,13.958253,0.051955391,0.095017914,-0.010959436,-0.316467557,-0.227687983,-0.143827594,-0.513590681,-0.403863441,-0.218858024,-0.978318916,-1.023129252,0.238642333,0.051742019,65,1
300122,-0.426600942,-0.501133053,-0.632567616,-0.503856955,-0.24426097,-0.243669899,0.08017843,-0.625389079,-0.725676003,0.333761,0.282179,-0.11012,-0.003951171,-0.086488435,-0.057245032,-0.095656954,-0.077240242,-0.300989555,0.147972973,3.848662179,3.754850305,-0.83549218,-1.022943481,-0.246200154,0.04480886,66,1
600611,-0.372159584,-0.326137177,-0.564168743,-0.36449917,-0.045056724,-0.081511962,0.382898372,-0.56752772,-0.332766689,0.131167,0.332047,-0.183431,0.02301208,-0.000379748,-0.057458956,0.088652482,0.225059856,0.289264932,0.014056225,-0.323358321,-0.054659845,-0.493932949,-1.015471167,-0.14465097,0.050608783,67,1
002431,-0.644294774,0.13865634,0.097550672,0.086096688,-0.472641389,-0.524315226,-0.528255165,0.108612689,0.59269715,-1.452543,-1.372095,-0.121119,0.09833178,0.152255381,-0.047993996,-0.607675112,-0.571535022,0.906803863,-0.112153185,0.01623957,-0.473220367,1.306842662,-1.012594458,-0.229867111,0.043686705,68,1
600410,-0.45220123,-0.576435396,-0.13576044,-0.253471079,-0.192340652,-0.15408304,0.052597753,-0.125939399,-0.417098898,0.007996,-0.228759,0.120237,0.044330926,0.031431276,-0.056144521,0.169902913,-0.719351188,-0.152635069,-0.124681934,-0.16753247,-0.406015607,0.420985828,-1.009936766,-0.235131307,0.049599832,69,1
002714,-0.696200031,-0.173419715,0.257818349,0.047250914,0.290773996,0.764062409,-0.779384239,0.269732825,0.569886697,6.429742,23.096545,0.15307,0.015608342,-0.019379136,-0.056248556,-0.41873805,-0.399617591,0.345495285,-0.152232293,-0.502252427,-0.301684718,-0.155618151,-1.00952381,-0.028742259,0.050018407,70,1
002221,-0.491222498,-0.481543314,1.016457672,0.121944525,-1.401138935,-1.891637814,-3.190053449,1.03240733,-0.26951224,1.944435,1.698743,0.291547,0.057469285,0.068011381,-0.050440685,-0.234816082,-0.03635586,0.435021421,-0.164606376,-0.504006458,-0.574638932,2.072009937,-0.99690881,-0.107205752,0.04544612,71,1
